"Album","Release Year","Song"
"...And Justice for All","1988","...And Justice for All"
"...And Justice for All","1988","Blackened"
"...And Justice for All","1988","Dyers Eve"
"...And Justice for All","1988","Eye of the Beholder"
"...And Justice for All","1988","Harvester of Sorrow"
"...And Justice for All","1988","One"
"...And Justice for All","1988","The Frayed Ends of Sanity"
"...And Justice for All","1988","The Shortest Straw"
"...And Justice for All","1988","To Live Is to Die"
"Death Magnetic","2008","All Nightmare Long"
"Death Magnetic","2008","Broken Beat & Scarred"
"Death Magnetic","2008","Cyanide"
"Death Magnetic","2008","My Apocalypse"
"Death Magnetic","2008","Suicide & Redemption"
"Death Magnetic","2008","That Was Just Your Life"
"Death Magnetic","2008","The Day That Never Comes"
"Death Magnetic","2008","The End of the Line"
"Death Magnetic","2008","The Judas Kiss"
"Death Magnetic","2008","The Unforgiven III"
"Master of Puppets","1986","Battery"
"Master of Puppets","1986","Damage Inc."
"Master of Puppets","1986","Disposable Heroes"
"Master of Puppets","1986","Leper Messiah"
"Master of Puppets","1986","Master of Puppets"
"Master of Puppets","1986","Orion"
"Master of Puppets","1986","The Thing That Should Not Be"
"Master of Puppets","1986","Welcome Home (Sanitarium)"
