"Album","Release Year","Song"
"A Storm to Come","2006","Battery"
"A Storm to Come","2006","I Stand Alone"
"A Storm to Come","2006","King"
"A Storm to Come","2006","Lifetime"
"A Storm to Come","2006","Rain"
"A Storm to Come","2006","She's Alive"
"A Storm to Come","2006","Starlight"
"A Storm to Come","2006","Stora Rövardansen"
"A Storm to Come","2006","The Mission"
"Break the Silence","2011","Bed of Nails"
"Break the Silence","2011","Black Wings of Hate"
"Break the Silence","2011","Dangers in My Head"
"Break the Silence","2011","If I Die in Battle"
"Break the Silence","2011","Master of the Wind"
"Break the Silence","2011","Neuer Wind"
"Break the Silence","2011","Primo Victoria"
"Break the Silence","2011","Spelled in Waters"
"Break the Silence","2011","The Higher Flight"
"Break the Silence","2011","The Seller of Souls"
"Tribe of Force","2010","Frodo's Dream"
"Tribe of Force","2010","Hearted"
"Tribe of Force","2010","I Am Human"
"Tribe of Force","2010","Last Night of the Kings"
"Tribe of Force","2010","Lost Forever"
"Tribe of Force","2010","Magic Taborea"
"Tribe of Force","2010","Master of Puppets"
"Tribe of Force","2010","My Voice"
"Tribe of Force","2010","One to Ten"
"Tribe of Force","2010","Rebellion"
"Tribe of Force","2010","To Sing a Metal Song"
"Tribe of Force","2010","Tribe of Force"
"Tribe of Force","2010","Water Fire Heaven Earth"
